×°±¸Ãû³Æ	¿ÕÊÖÕ¾Á¢1	¿ÕÊÖÕ¾Á¢2	¿ÕÊÖÕ¾Á¢3	¶ÌÎäÆ÷Õ¾Á¢	³¤ÎäÆ÷Õ¾Á¢	Ë«ÎäÆ÷Õ¾Á¢	ÆÕÍ¨×ßÂ·	¿ÕÊÖ×ßÂ·	¶ÌÎäÆ÷×ßÂ·	³¤ÎäÆ÷×ßÂ·	Ë«ÎäÆ÷×ßÂ·	ÆÕÍ¨ÅÜ²½	¿ÕÊÖÅÜ²½	¶ÌÎäÆ÷ÅÜ²½	³¤ÎäÆ÷ÅÜ²½	Ë«ÎäÆ÷ÅÜ²½	¿ÕÊÖÊÜÉË	¶ÌÎäÆ÷ÊÜÉË	³¤ÎäÆ÷ÊÜÉË	Ë«ÎäÆ÷ÊÜÉË	¿ÕÊÖËÀÍö	¶ÌÎäÆ÷ËÀÍö	³¤ÎäÆ÷ËÀÍö	Ë«ÎäÆ÷ËÀÍö	¿ÕÊÖ¹¥»÷	¶ÌÎäÆ÷´Ì	¶ÌÎäÆ÷¿³	³¤ÎäÆ÷´Á	³¤ÎäÆ÷Åü	Ë«ÎäÆ÷»®	Ë«ÎäÆ÷ÔÒ	°µÆ÷Í¶ÖÀ	¿ÕÊÖÄ§·¨	¶ÌÎäÆ÷Ä§·¨	³¤ÎäÆ÷Ä§·¨	Ë«ÎäÆ÷Ä§·¨	´ò×ø	ÌøÔ¾	ÆïÂíÕ¾Á¢	ÆïÂí×ß¶¯	ÆïÂíÅÜ²½	ÆïÂí¹¥»÷Åü	ÆïÂí¹¥»÷´Ì	ÆïÂíÄ§·¨	ÆïÂíÊÜÉË	ÆïÂíËÀÍö	ÆïÂíÕ¾Á¢1	ÆïÂíÕ¾Á¢2
Minh Ph­îng Dôc NhËt Th­¬ng	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Minh Ph­îng SÝ §Þa §ao	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Minh Ph­îng Kh«ng Minh KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Minh Ph­îng Bång Lai KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Minh Ph­îng Cöu Thiªn Hµn ThiÕt	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Minh Ph­îng Tham Th­¬ng KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Tö M·ng KÕt L« KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
B¹ch Hæ Tö CÇm KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Minh Ph­îng Tr¹m Vò KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Null																																																
